epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3786.92,1.38449,1.16921,1.52611,0.90444,0.77686,0.87221,0.54277,1.31248,0.82922,1.38984,0.004258,0.004258,0.004258
60,3851.21,1.37638,1.17032,1.52258,0.89009,0.79334,0.87533,0.54265,1.3085,0.82403,1.38931,0.004159,0.004159,0.004159
61,3915.08,1.36993,1.16601,1.51238,0.8936,0.78774,0.87371,0.54227,1.3001,0.82053,1.38031,0.00406,0.00406,0.00406
62,3978.46,1.37291,1.16055,1.51763,0.8955,0.78521,0.87201,0.54302,1.302,0.82176,1.38123,0.003961,0.003961,0.003961
63,4042.44,1.36783,1.14319,1.51061,0.87798,0.80191,0.87387,0.54611,1.30391,0.81526,1.37967,0.003862,0.003862,0.003862
64,4106.08,1.36012,1.14024,1.50042,0.88617,0.79664,0.87498,0.54976,1.29566,0.8092,1.37234,0.003763,0.003763,0.003763
65,4169.93,1.35117,1.13006,1.495,0.88944,0.79283,0.87531,0.5539,1.28218,0.81334,1.37095,0.003664,0.003664,0.003664
66,4234.25,1.35133,1.10657,1.49125,0.88552,0.79546,0.87577,0.55349,1.28768,0.80137,1.37363,0.003565,0.003565,0.003565
67,4298.43,1.34351,1.10172,1.48466,0.8802,0.81048,0.87787,0.55444,1.28701,0.7924,1.37327,0.003466,0.003466,0.003466
68,4362.75,1.34172,1.10575,1.48828,0.89358,0.80455,0.87995,0.5594,1.27627,0.7899,1.36756,0.003367,0.003367,0.003367
69,4426.76,1.32614,1.10038,1.48013,0.88828,0.80257,0.8815,0.56127,1.27156,0.77762,1.36455,0.003268,0.003268,0.003268
70,4490.67,1.32458,1.09222,1.47593,0.89452,0.8062,0.88448,0.56284,1.26412,0.77002,1.35892,0.003169,0.003169,0.003169
71,4554.62,1.32087,1.07277,1.46803,0.90432,0.79745,0.88397,0.56526,1.2645,0.76817,1.35795,0.00307,0.00307,0.00307
72,4618.78,1.32557,1.08972,1.47219,0.89393,0.81111,0.88654,0.5672,1.26429,0.76771,1.35763,0.002971,0.002971,0.002971
73,4683.07,1.31791,1.07159,1.4697,0.89028,0.81674,0.88747,0.56574,1.2628,0.76247,1.35625,0.002872,0.002872,0.002872
74,4747.47,1.3116,1.06953,1.46351,0.90219,0.81174,0.88664,0.56739,1.25489,0.76043,1.35418,0.002773,0.002773,0.002773
75,4812.11,1.30172,1.0633,1.45789,0.89862,0.81543,0.8859,0.56954,1.24905,0.75895,1.35324,0.002674,0.002674,0.002674
76,4876.04,1.29893,1.05733,1.4533,0.89841,0.81477,0.88535,0.57076,1.24772,0.76036,1.35551,0.002575,0.002575,0.002575
77,4939.46,1.28867,1.04128,1.4472,0.89216,0.82136,0.88593,0.57002,1.24423,0.75687,1.35255,0.002476,0.002476,0.002476
78,5003.26,1.28398,1.03491,1.44427,0.89895,0.81219,0.88511,0.57,1.24381,0.7533,1.35045,0.002377,0.002377,0.002377
79,5067.13,1.28132,1.02792,1.44316,0.90038,0.8151,0.88418,0.57128,1.24558,0.75432,1.35203,0.002278,0.002278,0.002278
80,5131.25,1.27318,1.02245,1.43727,0.91398,0.80686,0.88423,0.57237,1.2413,0.75614,1.34921,0.002179,0.002179,0.002179
81,5195.47,1.2724,1.00258,1.4324,0.91484,0.80724,0.8853,0.57361,1.23954,0.75401,1.34679,0.00208,0.00208,0.00208
82,5259.43,1.26358,1.00994,1.42498,0.9173,0.80982,0.88585,0.57397,1.23953,0.75143,1.34758,0.001981,0.001981,0.001981
83,5323.85,1.2712,1.01322,1.43146,0.91686,0.81051,0.8853,0.57501,1.23783,0.75272,1.34598,0.001882,0.001882,0.001882
84,5388.26,1.25307,0.98955,1.41941,0.91747,0.80612,0.88524,0.57539,1.23513,0.75,1.34523,0.001783,0.001783,0.001783
85,5452.74,1.24627,0.98149,1.4139,0.91493,0.80826,0.88661,0.57699,1.22987,0.74548,1.34418,0.001684,0.001684,0.001684
86,5517.09,1.23979,0.97327,1.40642,0.92059,0.80982,0.88897,0.57813,1.22979,0.74181,1.34579,0.001585,0.001585,0.001585
87,5581.41,1.24754,0.97987,1.41565,0.92004,0.81312,0.89043,0.58017,1.22755,0.73939,1.34454,0.001486,0.001486,0.001486
88,5645.38,1.23272,0.96387,1.40273,0.91236,0.81325,0.88918,0.58137,1.22472,0.73734,1.34195,0.001387,0.001387,0.001387
89,5709.26,1.23396,0.9672,1.4032,0.91452,0.8118,0.88841,0.5804,1.22296,0.73537,1.33892,0.001288,0.001288,0.001288
90,5773.55,1.22892,0.95171,1.40004,0.91572,0.81477,0.89016,0.58104,1.22029,0.7349,1.33565,0.001189,0.001189,0.001189
91,5838.54,1.02077,0.56758,1.25326,0.90905,0.81806,0.88999,0.58073,1.21868,0.73312,1.33383,0.00109,0.00109,0.00109
92,5901.06,1.00414,0.54756,1.23648,0.90753,0.82164,0.88952,0.58104,1.21701,0.73114,1.33411,0.000991,0.000991,0.000991
93,5963.68,0.99568,0.53904,1.22957,0.91271,0.82037,0.8898,0.58279,1.21672,0.72935,1.33455,0.000892,0.000892,0.000892
94,6026.23,0.98218,0.52977,1.22286,0.90654,0.82162,0.88801,0.5846,1.21443,0.72766,1.3346,0.000793,0.000793,0.000793
95,6089.19,0.96983,0.51962,1.21646,0.90694,0.82334,0.88697,0.58421,1.21268,0.72847,1.33408,0.000694,0.000694,0.000694
96,6151.55,0.96531,0.51947,1.21665,0.91075,0.82406,0.88876,0.58493,1.21084,0.72843,1.33336,0.000595,0.000595,0.000595
97,6214.18,0.95949,0.51074,1.2091,0.91336,0.82349,0.89026,0.58528,1.20989,0.72823,1.33347,0.000496,0.000496,0.000496
98,6276.89,0.95405,0.50889,1.20626,0.91291,0.82235,0.8899,0.58559,1.20958,0.72827,1.33444,0.000397,0.000397,0.000397
99,6339.76,0.94913,0.50512,1.20277,0.9129,0.82301,0.88962,0.5859,1.20936,0.72792,1.33526,0.000298,0.000298,0.000298
100,6402.52,0.93418,0.49587,1.1922,0.91012,0.82597,0.88883,0.58669,1.20903,0.7272,1.3365,0.000199,0.000199,0.000199
